Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-12-17 17:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,31 EUR",,
2021-12-17 17:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,31"
2021-12-17 07:47:00,,,,Ingreso Cambio de Divisa,EUR,"0,31"
2021-12-17 07:47:00,,,,Retirada Cambio de Divisa,USD,"-0,36"
2021-12-17 07:43:00,QUALCOMM INCORPORATED,United States (USA),US7475251036,Dividendo,USD,"0,68"
2021-12-17 07:43:00,QUALCOMM INCORPORATED,United States (USA),US7475251036,RetenciÃ³n del dividendo,USD,"-0,10"
2021-12-16 09:20:00,COCA-COLA COMPANY (THE,United States (USA),US1912161007,Dividendo,USD,"0,42"
2021-12-16 09:20:00,COCA-COLA COMPANY (THE,United States (USA),US1912161007,RetenciÃ³n del dividendo,USD,"-0,06"
2021-12-15 16:46:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 17,76 EUR",,
2021-12-15 16:46:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"17,76"
2021-12-15 09:29:00,RED ELECTRICA CORPORACION SA,Spain (ESP),ES0173093024,Spanish Transaction Tax,EUR,"-0,08"
2021-12-15 09:29:00,RED ELECTRICA CORPORACION SA,Spain (ESP),ES0173093024,"Compra 2 RED ELECTRICA CORPORACION SA@18,83 EUR (ES0173093024)",EUR,"-37,66"
2021-12-15 07:35:00,,,,Ingreso Cambio de Divisa,EUR,"19,98"
2021-12-15 07:35:00,,,,Retirada Cambio de Divisa,USD,"-22,52"
2021-12-14 16:32:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,1 EUR",,
2021-12-14 16:32:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-11,10"
2021-12-14 09:54:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Coste de la AcciÃ³n,USD,"22,52"
2021-12-14 07:36:00,,,,Ingreso Cambio de Divisa,EUR,"11,10"
2021-12-14 07:36:00,,,,Retirada Cambio de Divisa,USD,"-12,55"
2021-12-13 16:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,46 EUR",,
2021-12-13 16:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,46"
2021-12-13 07:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Dividendo,USD,"14,76"
